,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",50180612,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",34370726,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
3,"Shape of You","Ed Sheeran",28131811,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
4,HUMBLE.,"Kendrick Lamar",24443034,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
5,Attention,"Charlie Puth",22232316,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
6,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",20934074,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
7,Unforgettable,"French Montana",20641204,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
8,"There's Nothing Holdin' Me Back","Shawn Mendes",20400344,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
9,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",19981491,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
10,"XO TOUR Llif3","Lil Uzi Vert",18799461,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
11,"Something Just Like This","The Chainsmokers",18685655,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
12,"Stay (with Alessia Cara)",Zedd,18404499,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
13,"Strip That Down","Liam Payne",18026441,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
14,"Symphony (feat. Zara Larsson)","Clean Bandit",17506415,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
15,Malibu,"Miley Cyrus",17437823,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
16,"Mask Off",Future,17284700,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
17,"That's What I Like","Bruno Mars",16982413,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
18,"It Ain't Me (with Selena Gomez)",Kygo,16862657,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
19,Thunder,"Imagine Dragons",16624978,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
20,"Felices los 4",Maluma,15952360,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
21,"There for You","Martin Garrix",15631203,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
22,Mama,"Jonas Blue",15112975,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
23,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",14533038,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
24,"Bad Liar","Selena Gomez",14099527,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
25,Congratulations,"Post Malone",14029953,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
26,"First Time",Kygo,14020041,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
27,"No Promises (feat. Demi Lovato)","Cheat Codes",13844418,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
28,"Sign of the Times","Harry Styles",13504690,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
29,"Now Or Never",Halsey,12936509,https://open.spotify.com/track/7i2DJ88J7jQ8K7zqFX2fW8
30,Passionfruit,Drake,12530373,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
31,"SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)","Enrique Iglesias",12495882,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
32,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",12455832,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
33,"Me Rehúso","Danny Ocean",12371641,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
34,"Galway Girl","Ed Sheeran",11953528,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
35,1-800-273-8255,Logic,11605915,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
36,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer",11546893,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
37,"Slow Hands","Niall Horan",11535946,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
38,Issues,"Julia Michaels",11407476,https://open.spotify.com/track/6D0b04NJIKfEMg040WioJQ
39,DNA.,"Kendrick Lamar",11255391,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
40,"Crying in the Club","Camila Cabello",10715650,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
41,Location,Khalid,10546426,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
42,"Scared to Be Lonely","Martin Garrix",10390982,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
43,Redbone,"Childish Gambino",10191004,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
44,Believer,"Imagine Dragons",10165996,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
45,"The Cure","Lady Gaga",9698075,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
