,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",48663312,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",33067187,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
3,"2U (feat. Justin Bieber)","David Guetta",30412190,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
4,"Shape of You","Ed Sheeran",27528001,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
5,HUMBLE.,"Kendrick Lamar",23554205,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
6,Attention,"Charlie Puth",22922326,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
7,Unforgettable,"French Montana",22421504,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
8,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",20420851,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
9,"Strip That Down","Liam Payne",19956442,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
10,"There's Nothing Holdin' Me Back","Shawn Mendes",19614320,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
11,"XO TOUR Llif3","Lil Uzi Vert",19409469,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
12,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",19392970,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
13,"Something Just Like This","The Chainsmokers",18242879,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
14,"Stay (with Alessia Cara)",Zedd,17424859,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
15,"Mask Off",Future,17206996,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
16,Thunder,"Imagine Dragons",16927789,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
17,"Symphony (feat. Zara Larsson)","Clean Bandit",16805335,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
18,Mama,"Jonas Blue",16354695,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
19,"There for You","Martin Garrix",16281619,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
20,"That's What I Like","Bruno Mars",15960710,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
21,Malibu,"Miley Cyrus",15819643,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
22,"It Ain't Me (with Selena Gomez)",Kygo,15769283,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
23,Congratulations,"Post Malone",15654840,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
24,"Felices los 4",Maluma,15503068,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
25,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",14642726,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
26,"Bad Liar","Selena Gomez",13504016,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
27,"No Promises (feat. Demi Lovato)","Cheat Codes",13334129,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
28,"First Time",Kygo,12893451,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
29,"Me Rehúso","Danny Ocean",12703530,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
30,"Sign of the Times","Harry Styles",12656437,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
31,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer",12565784,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
32,"SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)","Enrique Iglesias",12365595,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
33,"Slow Hands","Niall Horan",12221179,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
34,"Now Or Never",Halsey,11973097,https://open.spotify.com/track/7i2DJ88J7jQ8K7zqFX2fW8
35,Redbone,"Childish Gambino",11721325,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
36,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",11704848,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
37,Passionfruit,Drake,11596095,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
38,"Galway Girl","Ed Sheeran",11566804,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
39,1-800-273-8255,Logic,11325822,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
40,"Crying in the Club","Camila Cabello",11148517,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
41,"Swish Swish","Katy Perry",10976067,https://open.spotify.com/track/2kVHAQKVtczchKctctzbtK
42,DNA.,"Kendrick Lamar",10681561,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
43,"Your Song","Rita Ora",10630950,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
44,Location,Khalid,10389758,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
45,Issues,"Julia Michaels",10371528,https://open.spotify.com/track/6D0b04NJIKfEMg040WioJQ
46,Believer,"Imagine Dragons",10287248,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
47,"Escápate Conmigo",Wisin,9938029,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
48,"Ahora Dice","Chris Jedi",9235404,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
49,"More Than You Know","Axwell /\ Ingrosso",9202134,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
50,"Scared to Be Lonely","Martin Garrix",9193730,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
51,"iSpy (feat. Lil Yachty)",KYLE,8995910,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
52,"The Cure","Lady Gaga",8321475,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
53,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",8222348,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
54,"To the Max (feat. Drake)","DJ Khaled",7875553,https://open.spotify.com/track/2of5xn0GU0TdFneR1saRLH
55,"Rollin (feat. Future & Khalid)","Calvin Harris",7851950,https://open.spotify.com/track/0lMbuWUpfTWhEmOKxppEau
56,Down,"Fifth Harmony",7689791,https://open.spotify.com/track/7LEydI5NfjY6mZfKwYIptZ
57,"Most Girls","Hailee Steinfeld",7676448,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ
58,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,7658766,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
59,Magnolia,"Playboi Carti",7625837,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl
60,"Hey DJ",CNCO,7515947,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl
61,OK,"Robin Schulz",7416654,https://open.spotify.com/track/3bWAqKDWg6u1davspr5IkS
62,"Say You Won't Let Go","James Arthur",7298194,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
63,"El Amante","Nicky Jam",7235229,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
64,"Bon appétit","Katy Perry",7233528,https://open.spotify.com/track/61WbtB6ujkpNAsAf5LjF4b
65,goosebumps,"Travis Scott",7224683,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
66,Closer,"The Chainsmokers",7108368,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
67,"Hey Ma (with Pitbull & J Balvin feat. Camila Cabello)",Pitbull,7007947,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez
68,"I Feel It Coming","The Weeknd",7006942,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
69,Paris,"The Chainsmokers",6875590,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
70,Tuesday,"Burak Yeter",6783302,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR
71,"LOVE. FEAT. ZACARI.","Kendrick Lamar",6558171,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
72,"Me Enamoré",Shakira,6532756,https://open.spotify.com/track/4qknM1pQz53QOyfDVTjcM9
73,"Body Like A Back Road","Sam Hunt",6444014,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
74,"Castle on the Hill","Ed Sheeran",6425012,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
75,"Slippery (feat. Gucci Mane)",Migos,6371544,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
76,"Good Life (with G-Eazy & Kehlani)",G-Eazy,6355135,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
77,"One Dance",Drake,6354384,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
78,"No Vacancy",OneRepublic,6339866,https://open.spotify.com/track/6XOYVSmNDjKUNMXooU4s4z
79,Starboy,"The Weeknd",6307563,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
80,"You Don't Know Me - Radio Edit","Jax Jones",6299715,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
81,"Solo Dance","Martin Jensen",6232748,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
82,"Chantaje (feat. Maluma)",Shakira,6231428,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
83,"Sigo Extrañándote","J Balvin",6189870,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
84,Portland,Drake,6164944,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
85,"Tu Foto",Ozuna,6117895,https://open.spotify.com/track/0Szp49tpFasIjX04Mcsydp
86,"Call On Me - Ryan Riback Extended Remix",Starley,5894683,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
87,"La Rompe Corazones","Daddy Yankee",5852665,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
88,"Chained To The Rhythm","Katy Perry",5717491,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
89,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",5713067,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
